player_id,o_rapm,d_rapm,net_rapm,possessions,end_season,start_season,stint_years
255,-0.6037373819515282,-0.8983783260485189,0.2946409440969907,7101.5999999999685,2013,2011,2011-2013
436,-3.033873528112327,-0.30614204629855024,-2.727731481813777,941.2000000000003,2013,2011,2011-2013
467,0.2757461816868749,-0.16347295598452732,0.43921913767140225,13109.100000000024,2013,2011,2011-2013
703,-2.771477125002252,-1.7059712655130765,-1.0655058594891755,4585.999999999986,2013,2011,2011-2013
708,-0.3234216283079228,-1.990021399114763,1.6665997708068403,18582.400000000183,2013,2011,2011-2013
711,-1.0062104501329627,-1.6229852135067069,0.6167747633737442,3195.999999999996,2013,2011,2011-2013
739,-2.3318468867700544,-1.0673185466500312,-1.2645283401200231,1099.6000000000004,2013,2011,2011-2013
948,-2.6212007631136895,-0.5757974315401734,-2.045403331573516,6143.39999999996,2013,2011,2011-2013
951,1.4247135343439832,1.7690043499788102,-0.344290815634827,21096.900000000347,2013,2011,2011-2013
959,0.8226490991293385,1.1332245981565792,-0.3105754990272407,15680.500000000106,2013,2011,2011-2013
965,0.147957931088414,-0.9383907101901788,1.0863486412785928,13805.000000000084,2013,2011,2011-2013
977,1.5933911233105797,1.0134684971623542,0.5799226261482255,21619.30000000023,2013,2011,2011-2013
979,-2.2208168201091403,-1.3230154142561537,-0.8978014058529866,9576.999999999996,2013,2011,2011-2013
1112,-3.052457059595629,-3.3040325043202095,0.2515754447245806,3624.599999999998,2013,2011,2011-2013
1495,0.14532502718793497,-1.4115509242038833,1.5568759513918182,22829.80000000033,2013,2011,2011-2013
1497,0.10471501908287202,0.32739467212075213,-0.22267965303788012,5186.599999999983,2013,2011,2011-2013
1499,-1.181326572657982,-2.646332799971534,1.465006227313552,1076.2000000000003,2013,2011,2011-2013
1503,-0.9230248480355531,-3.6724898308177125,2.7494649827821593,3172.2,2013,2011,2011-2013
1515,-1.7269366666643888,1.5931878910740773,-3.320124557738466,5072.099999999992,2013,2011,2011-2013
1536,-1.0134457371768053,-1.2363835110928385,0.2229377739160332,9530.799999999988,2013,2011,2011-2013
1710,0.2740453628036183,3.014881436400447,-2.7408360735968285,2135.300000000002,2013,2011,2011-2013
1712,1.3131418242804873,0.291421624754326,1.0217201995261613,16157.000000000142,2013,2011,2011-2013
1713,1.8516825294902424,-1.988239008878064,3.8399215383683063,22055.60000000051,2013,2011,2011-2013
1717,3.2264800587256217,0.3404727734006896,2.886007285324932,24651.800000000407,2013,2011,2011-2013
1718,0.405985450068373,-1.215286430261693,1.621271880330066,25903.60000000035,2013,2011,2011-2013
1733,0.10122382572812885,-0.5225373621789745,0.6237611879071033,9568.899999999985,2013,2011,2011-2013
1737,-2.0286954686302305,-1.4015428686059832,-0.6271526000242473,7366.499999999971,2013,2011,2011-2013
1740,-1.143786607253132,0.5850906473631252,-1.7288772546162572,9662.699999999983,2013,2011,2011-2013
1802,-1.3091188312729418,-0.5934524201866518,-0.71566641108629,571.4,2013,2011,2011-2013
1853,-3.3909630045565797,-1.0635780220088122,-2.3273849825477675,818.2000000000002,2013,2011,2011-2013
1882,-0.8039400538597452,-0.15529072780054204,-0.6486493260592032,18045.10000000022,2013,2011,2011-2013
1884,-0.2740823284216711,0.17999519008081574,-0.4540775185024868,2355.000000000002,2013,2011,2011-2013
1885,-0.8711408939102151,-0.8338844104490892,-0.03725648346112587,10264.49999999999,2013,2011,2011-2013
1888,0.14435228910503511,0.32428977628532357,-0.17993748718028846,6850.5999999999785,2013,2011,2011-2013
1889,1.3132414098154874,-0.5739792592140948,1.887220669029582,19880.1000000003,2013,2011,2011-2013
1890,-1.4940742794334525,1.1216136158894578,-2.6156878953229104,24960.300000000487,2013,2011,2011-2013
1891,0.2794055807643232,0.653109648314216,-0.3737040675498928,18095.400000000198,2013,2011,2011-2013
1894,-2.484870510741815,-0.8360778906996665,-1.6487926200421485,4506.499999999991,2013,2011,2011-2013
1897,0.7597784624387917,-0.8682863054009998,1.6280647678397915,18295.300000000156,2013,2011,2011-2013
1902,-1.169518177175148,-3.7063059930760027,2.536787815900855,541.5999999999996,2013,2011,2011-2013
1905,-0.8752333962745338,-0.45118407784334014,-0.42404931843119364,11452.000000000025,2013,2011,2011-2013
1938,2.085470262242671,-0.2756068547675101,2.361077117010181,15215.000000000087,2013,2011,2011-2013
1952,-0.6348355993691981,0.8891397576574921,-1.52397535702669,3037.7999999999984,2013,2011,2011-2013
2030,-1.518157426425827,-2.0334645633545074,0.5153071369286804,7531.299999999962,2013,2011,2011-2013
2034,1.1767974882540178,1.616881189660179,-0.44008370140616115,12962.600000000091,2013,2011,2011-2013
2037,-0.005125528842749205,0.23826817086765958,-0.24339369971040878,23823.9000000006,2013,2011,2011-2013
2038,-1.7886721442831426,2.3759599589188016,-4.164632103201944,1950.1000000000015,2013,2011,2011-2013
2039,-3.231606643289667,1.5326848843668657,-4.764291527656533,2785.3999999999955,2013,2011,2011-2013
