target,feature,importance
O-PPM 1yr,o_rapm,0.7657533087640136
O-PPM 1yr,potential_ast_per_100,0.05052371621766355
O-PPM 1yr,secondary_ast_per_100,0.044644920864229096
O-PPM 1yr,o_pts_vs_exp_elite,0.04435149926970699
O-PPM 1yr,drive_rate,0.03884120805427186
O-PPM 1yr,drive_fg_pct,0.02882086948394505
O-PPM 1yr,o_rapm_career_wt,0.027064477346169704
D-PPM 1yr,d_rapm,0.8244848747095886
D-PPM 1yr,rim_dfg,0.0432586082604663
D-PPM 1yr,steals,0.040298688536952565
D-PPM 1yr,dreb_contest_rate,0.03595708709921029
D-PPM 1yr,d_rapm_career_wt,0.02999637321982502
D-PPM 1yr,blocks,0.026004368173957102
O-PPM 2yr,o_rapm,0.5150056524297885
O-PPM 2yr,secondary_ast_per_100,0.09835936530757684
O-PPM 2yr,o_pts_vs_exp_elite,0.08997065188437946
O-PPM 2yr,drive_fg_pct,0.08509868510009891
O-PPM 2yr,potential_ast_per_100,0.08200665416484501
O-PPM 2yr,drive_rate,0.0733705709957548
O-PPM 2yr,o_rapm_career_wt,0.0561884201175565
D-PPM 2yr,d_rapm,0.5743528503079395
D-PPM 2yr,rim_dfg,0.10901122434310921
D-PPM 2yr,dreb_contest_rate,0.10592920882139648
D-PPM 2yr,steals,0.09291023786091378
D-PPM 2yr,d_rapm_career_wt,0.07304776662116645
D-PPM 2yr,blocks,0.044748712045474745
O-PPM 3yr,o_rapm,0.326579899491755
O-PPM 3yr,drive_rate,0.15006926560002148
O-PPM 3yr,potential_ast_per_100,0.1465878897823596
O-PPM 3yr,o_rapm_career_wt,0.1282342526187401
O-PPM 3yr,o_pts_vs_exp_elite,0.11295351654848859
O-PPM 3yr,secondary_ast_per_100,0.07087536306967013
O-PPM 3yr,drive_fg_pct,0.06469981288896506
D-PPM 3yr,d_rapm_career_wt,0.2495994562275444
D-PPM 3yr,dreb_contest_rate,0.2221001989971621
D-PPM 3yr,d_rapm,0.17126768800260347
D-PPM 3yr,steals,0.14518077053799572
D-PPM 3yr,rim_dfg,0.1322415802649104
D-PPM 3yr,blocks,0.07961030596978379
O-PPM 4yr,o_rapm,0.3185540270798923
O-PPM 4yr,drive_rate,0.15013898544056845
O-PPM 4yr,potential_ast_per_100,0.13883162367156246
O-PPM 4yr,o_rapm_career_wt,0.13434857705237324
O-PPM 4yr,drive_fg_pct,0.11368526029066824
O-PPM 4yr,o_pts_vs_exp_elite,0.08082657102657871
O-PPM 4yr,secondary_ast_per_100,0.06361495543835663
D-PPM 4yr,dreb_contest_rate,0.2547132019224753
D-PPM 4yr,d_rapm_career_wt,0.2347078339107821
D-PPM 4yr,d_rapm,0.15337791502538212
D-PPM 4yr,rim_dfg,0.12766017472259636
D-PPM 4yr,steals,0.11720916745244578
D-PPM 4yr,blocks,0.11233170696631833
O-PPM 5yr,o_rapm,0.37985205097438474
O-PPM 5yr,potential_ast_per_100,0.14049203312973485
O-PPM 5yr,drive_fg_pct,0.11645842189903818
O-PPM 5yr,drive_rate,0.11460863257368077
O-PPM 5yr,o_rapm_career_wt,0.09573860496259669
O-PPM 5yr,o_pts_vs_exp_elite,0.08802902516956056
O-PPM 5yr,secondary_ast_per_100,0.06482123129100412
D-PPM 5yr,d_rapm_career_wt,0.2814388486440774
D-PPM 5yr,dreb_contest_rate,0.21838461819662938
D-PPM 5yr,rim_dfg,0.14309927258240257
D-PPM 5yr,d_rapm,0.13367513848638746
D-PPM 5yr,steals,0.11357602602133779
D-PPM 5yr,blocks,0.10982609606916524
O-PPM 6yr,drive_rate,0.3900270548907351
O-PPM 6yr,o_pts_vs_exp_elite,0.17135785924336816
O-PPM 6yr,potential_ast_per_100,0.14774191378730886
O-PPM 6yr,o_rapm,0.12337086516847717
O-PPM 6yr,drive_fg_pct,0.09739836361110747
O-PPM 6yr,o_rapm_career_wt,0.04666947451542083
O-PPM 6yr,secondary_ast_per_100,0.023434468783582487
D-PPM 6yr,dreb_contest_rate,0.24590337723562797
D-PPM 6yr,d_rapm_career_wt,0.21658534808341434
D-PPM 6yr,steals,0.1689155250405581
D-PPM 6yr,rim_dfg,0.14106224442126028
D-PPM 6yr,blocks,0.11806362169691724
D-PPM 6yr,d_rapm,0.10946988352222216
O-PPM 5_7yr,potential_ast_per_100,0.3212094434818502
O-PPM 5_7yr,drive_rate,0.24610162276352976
O-PPM 5_7yr,o_rapm,0.17502497135897085
O-PPM 5_7yr,o_pts_vs_exp_elite,0.11138465223656657
O-PPM 5_7yr,drive_fg_pct,0.06522284894898144
O-PPM 5_7yr,o_rapm_career_wt,0.05337094216957251
O-PPM 5_7yr,secondary_ast_per_100,0.027685519040528687
D-PPM 5_7yr,d_rapm_career_wt,0.2534264951019126
D-PPM 5_7yr,dreb_contest_rate,0.24466935463608092
D-PPM 5_7yr,steals,0.13930732260268477
D-PPM 5_7yr,d_rapm,0.1318207243256273
D-PPM 5_7yr,rim_dfg,0.11779251222699688
D-PPM 5_7yr,blocks,0.11298359110669759
