name,season,o_rapm,d_rapm,total_rapm,games,poss
A.J. Lawson,2023,-1.50892102071211,1.3128007130326,-2.82172173374471,27,235
A.J. Lawson,2024,-1.90952633364242,-0.21447477061624998,-1.69505156302617,23,678
AJ Green,2023,-0.10304355378232,1.8289924143076401,-1.9320359680899601,49,717
AJ Green,2024,0.30291231214399,0.76302068486096,-0.46010837271696997,73,1231
AJ Griffin,2023,0.47555367994155,0.6851245487381099,-0.2095708687965599,14,2916
Aaron Brooks,2014,0.44386854075262,2.65728513615795,-2.21341659540533,82,3169
Aaron Brooks,2015,0.8576286685138801,2.71184557593771,-1.8542169074238297,69,3630
Aaron Brooks,2016,1.0244136194145201,1.65562492160339,-0.6312113021888699,61,2181
Aaron Brooks,2017,0.40465826616809003,1.22551287688546,-0.82085461071737,20,1697
Aaron Gordon,2015,-1.47375290674438,1.86335750077208,-3.3371104075164597,78,1527
Aaron Gordon,2016,-0.26081573724301,1.00582173494216,-1.26663747218517,80,3712
Aaron Gordon,2017,1.3514202447044998,0.8947293023467501,0.45669094235774976,58,4598
Aaron Gordon,2018,1.3914190470044001,0.11176010216282001,1.27965894484158,78,3943
Aaron Gordon,2019,1.51208343417115,-0.72110670854435,2.2331901427155,62,5194
Aaron Gordon,2020,-0.19698673955919999,-0.2738989187716,0.07691217921240001,25,4090
Aaron Gordon,2020,-0.19698673955919999,-0.2738989187716,0.07691217921240001,25,4090
Aaron Gordon,2020,-0.19698673955919999,-0.2738989187716,0.07691217921240001,25,4090
Aaron Gordon,2020,-0.19698673955919999,-0.2738989187716,0.07691217921240001,25,4090
Aaron Gordon,2021,1.00078677705629,-0.82557513104499,1.8263619081012799,75,2803
Aaron Gordon,2022,1.9905159150261202,-0.20185850822203,2.1923744232481504,68,4845
Aaron Gordon,2023,2.5326059550295503,-1.58454367831498,4.11714963334453,73,4227
Aaron Gordon,2024,2.17201551866799,-1.6495396664521,3.82155518512009,51,4503
Aaron Harrison,2017,-0.7960937016739099,0.6421047050162401,-1.4381984066901499,9,34
Aaron Holiday,2019,0.06980277918247,-0.46022266115707006,0.53002544033954,66,1355
Aaron Holiday,2020,1.7949480458732399,0.17102484680069002,1.6239231990725498,63,3318
Aaron Holiday,2021,1.34397241022295,0.45072718364294,0.8932452265800099,40,2499
Aaron Holiday,2021,1.34397241022295,0.45072718364294,0.8932452265800099,40,2499
Aaron Holiday,2021,1.34397241022295,0.45072718364294,0.8932452265800099,20,2499
Aaron Holiday,2021,1.34397241022295,0.45072718364294,0.8932452265800099,20,2499
Aaron Holiday,2022,0.56375299203312,0.55221885668086,0.01153413535226,56,2054
Aaron Holiday,2023,-0.23205983202,0.26488467497952,-0.49694450699952,77,1757
Aaron Holiday,2024,-0.45276454196394,-1.23804827770135,0.78528373573741,53,2597
Aaron Nesmith,2021,-1.1001246714783701,0.72061052491802,-1.8207351963963903,42,1361
Aaron Nesmith,2022,-1.51931502032769,-0.28205762717602,-1.23725739315167,73,1169
Aaron Nesmith,2023,-0.65102076138056,1.6239326567160401,-2.2749534180966,72,3790
Aaron Nesmith,2024,0.6924112946996,1.55898864307884,-0.8665773483792399,45,4175
Aaron Wiggins,2022,-0.36385553998206,1.5147137536219202,-1.8785692936039802,69,2476
Aaron Wiggins,2023,-0.11065446170755,1.44599720588766,-1.55665166759521,77,2683
Aaron Wiggins,2024,0.27150760564780996,1.02678315910913,-0.7552755534613201,76,2494
Abdel Nader,2018,-1.10680532581162,2.0078632252831596,-3.1146685510947796,51,1059
Abdel Nader,2019,-2.61237590014466,2.1945751140627903,-4.80695101420745,52,1454
