name,season,o_rapm,d_rapm,total_rapm,my_o_rapm,my_d_rapm,my_total_rapm,poss,games
Shawn Marion,2014,-0.44374781112608996,0.9307684942652701,-1.37451630539136,-112.59447954846304,97.3785462417184,-209.97302579018145,4682,54
Jarrett Jack,2014,-2.37379587318278,0.48331028452318003,-2.85710615770596,-119.01273594344748,75.92327823582178,-194.93601417926925,4319,80
Robbie Hummel,2014,1.36142662120103,0.35460509200997,1.00682152919106,51.68468119627717,2.24539500523268,49.43928619104449,1315,44
CJ Miles,2014,0.73026273216422,-0.36289133248813,1.0931540646523499,147.04911893667645,-80.07182679888058,227.12094573555703,1911,70
Luke Babbitt,2014,1.0192674827920098,2.2275175692731497,-1.2082500864811399,101.64600815505769,162.3456969925457,-60.69968883748801,889,57
Marreese Speights,2014,-3.4291261316736397,1.66702907082112,-5.09615520249476,-243.9241847875374,76.12665994833819,-320.05084473587556,1954,76
Jose Calderon,2014,0.9034642350824801,3.44848023484054,-2.5450159997580597,31.91929813254769,249.70197529236304,-217.78267715981536,4837,42
Draymond Green,2014,0.1174634998757,-2.81649079656049,2.9339542964361898,30.20930815202768,-259.74140078172593,289.9507089337536,3549,79
Marvin Williams,2014,-0.26338785826779,0.79218528041975,-1.05557313868754,-57.42940252605086,14.75368214401033,-72.18308467006119,3171,78
Lavoy Allen,2014,-1.8260551121029998,-0.6431347066787,-1.1829204054242997,-175.06547806568807,-121.2374256537216,-53.82805241196647,2199,59
Kevin Martin,2014,1.12097888573749,1.55393490449092,-0.43295601875343004,76.69917118615868,209.5287334447955,-132.82956225863683,4496,39
Omer Asik,2014,-0.01105862352933,-2.52077757108264,2.50971894755331,-70.98572391831107,-178.4409494260476,107.45522550773654,1974,76
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,22
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,46
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,46
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,46
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,46
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,46
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,46
Rajon Rondo,2014,-0.35853634700590997,1.26821834044755,-1.62675468745346,-119.71773333431727,72.46984051592729,-192.18757385024458,1954,46
