name,age,o_rapm,d_rapm,total_rapm,games,off_poss
Chet Holmgren,22.50513347022587,3.26158445023306,-1.90449147477379,5.16607592500685,32,5024
Franz Wagner,23.1813826146475,0.67725706074303,-2.7962215811726603,3.4734786419156904,60,4697
Anthony Edwards,23.241615331964407,2.06659728072067,-1.30934325121722,3.37594053193789,79,5585
Darius Garland,24.76659822039699,2.652082811784,-0.54435678587198,3.19643959765598,75,3817
Ben Sheppard,23.29637234770705,2.30160979972474,-0.0018626197558904,2.3034724194806304,63,1712
Dereck Lively II,20.720054757015745,3.0685498478176703,0.76805265447533,2.3004971933423404,36,2654
Brandin Podziemski,21.683778234086244,2.39121066915198,0.10736670432458,2.2838439648274,64,3941
Zion Williamson,24.32306639288159,1.11464251412257,-0.8239295959121601,1.93857211003473,30,4539
Tari Eason,23.479808350444905,0.19507276810961,-1.32229593171156,1.5173686998211702,57,976
Victor Wembanyama,20.826830937713893,-1.6019358353290498,-3.02605169347244,1.4241158581433904,46,4405
Tyrese Maxey,23.991786447638603,2.0853153773001,0.66853525208938,1.4167801252107202,52,5255
Keon Ellis,24.815879534565365,-0.4419795002803099,-1.79934728849481,1.3573677882145,79,1958
Tyrese Haliburton,24.673511293634498,2.99028592993263,1.6394605975945502,1.35082533233808,73,4739
Day'Ron Sharpe,22.98699520876112,1.87040695395386,0.62419685228963,1.2462101016642302,50,1787
Tre Jones,24.815879534565365,1.7163578969652398,0.54125829888079,1.17509959808445,28,4405
Tre Jones,24.815879534565365,1.7163578969652398,0.54125829888079,1.17509959808445,18,4405
Tre Jones,24.815879534565365,1.7163578969652398,0.54125829888079,1.17509959808445,18,4405
Tre Jones,24.815879534565365,1.7163578969652398,0.54125829888079,1.17509959808445,28,4405
Jaime Jaquez Jr.,23.7015742642026,0.80129206906144,-0.34104591320078,1.14233798226222,64,4223
Jalen Williams,23.550992470910334,0.77344795671608,-0.32109894093978,1.09454689765586,69,4661
Keegan Murray,24.20260095824777,1.88460841742772,0.7905513402642,1.09405707716352,76,5303
Tyler Herro,24.78302532511978,2.02228996058686,0.98085623786014,1.04143372272672,77,2834
Deni Avdija,23.82751540041068,0.2808297962353,-0.3394770549215,0.6203068511568,72,4807
Onyeka Okongwu,23.89048596851472,1.1532810237828,0.6511918020866301,0.5020892216961699,74,2964
Jarace Walker,21.16084873374401,0.60256247821317,0.1194319721906699,0.4831305060225,71,722
Amen Thompson,21.75496235455168,-0.13627612498657,-0.56568742138296,0.42941129639639,69,2880
LaMelo Ball,23.195071868583163,2.247638611914,1.8430605351632896,0.4045780767507103,47,1483
Josh Minott,21.9356605065024,0.7146760244170299,0.3101322968077299,0.4045437276092999,33,216
Tristan Vukcevic,21.6454483230664,-0.69494439671004,-0.94131317651575,0.2463687798057099,28,327
Coby White,24.709103353867214,2.16088842273003,2.00599858534358,0.1548898373864498,74,5670
Cason Wallace,20.985626283367555,-0.77314108797542,-0.8784367035970501,0.10529561562163,68,3477
Walker Kessler,23.26899383983573,-0.01683585555342,-0.05986808011933,0.04303222456591,58,3010
Ochai Agbaji,24.53388090349076,0.81061650285313,0.79210323668068,0.01851326617245,64,3346
Jaden McDaniels,24.09034907597536,-0.03445525142538,0.09357993772626,-0.12803518915164,82,4182
Jalen Duren,20.955509924709105,0.05480947999845,0.19323712075736,-0.1384276407589099,78,3643
Mark Williams,22.87748117727584,-0.30721225825672,-0.1111195164900999,-0.19609274176662,44,1034
Lester Quinones,23.95893223819301,-0.77254343215331,-0.51702534670323,-0.25551808545008,8,805
Dalen Terry,22.308008213552363,0.24816831193722,0.53848030629829,-0.29031199436107,71,1359
Nikola Jovic,21.399041752224505,-0.13089208000436,0.28522441970756,-0.41611649971192,46,1790
Ausar Thompson,21.75496235455168,-1.0819844556047,-0.64982820948858,-0.43215624611612,59,3231
Miles McBride,24.147843942505133,-0.72287746168412,-0.28638241705465,-0.43649504462947,64,2564
Alperen Sengun,22.272416153319643,0.99872443631739,1.49636226013431,-0.4976378238169201,76,4166
Jordan Walsh,20.6652977412731,-1.13603208255622,-0.6123447090008,-0.52368737355542,37,165
Cole Anthony,24.465434633812457,0.3335314321368,0.90912580251452,-0.57559437037772,66,3600
Jalen Smith,24.629705681040384,0.83283228800849,1.40922161454373,-0.57638932653524,64,2179
Jalen Wilson,23.991786447638603,0.32560239265609,0.93797357889489,-0.6123711862387999,79,1209
Colby Jones,22.431211498973305,-0.86122569158045,-0.19918652020485,-0.6620391713756,13,390
Isaac Okoro,23.76454483230664,-0.02156870398288,0.6714765367615899,-0.6930452407444699,55,3748
Josh Green,23.95893223819301,0.47999409120826,1.26154981783815,-0.7815557266298898,68,3034
Dyson Daniels,21.6290212183436,-0.60206177051543,0.22261321440159,-0.82467498491702,76,2750
