name,age,team_name,position,pos_category,o_rapm,d_rapm,total_rapm,games,off_poss,tier,tier_name,tier_color,proj_1yr,proj_3yr,proj_5yr,tier_1yr,tier_3yr,tier_5yr,tier_change_1yr,tier_change_3yr,tier_change_5yr,player_type,draft_position,raw_o_rapm,raw_d_rapm,raw_net_rapm
Zac Risacher,19,ATL,rookie,rookie,-1.6610801385085543,2.5694658856038295,-4.230546024112384,24,23426,6,Bench,#808080,-3.4305460241123837,-2.4305460241123837,-1.7305460241123836,6,6,6,0,0,0,rookie_2024,1,-2.041871220649412,3.0713843112874737,-5.113255531936886
Alex Sarr,19,WAS,rookie,rookie,-0.42330480177418084,-0.9549592121041064,0.5316544103299256,16,17615,4,Quality Starter,#4169E1,1.3316544103299255,2.3316544103299255,3.0316544103299257,3,2,2,1,2,2,rookie_2024,2,-0.5772112914699782,-1.0896104945619414,0.5123992030919632
Reed Sheppard,20,HOU,rookie,rookie,-1.0646603376151789,0.39715208993863443,-1.4618124275538134,22,8057,5,Rotation,#32CD32,-0.6618124275538133,0.3381875724461867,1.0381875724461866,5,4,3,0,1,2,rookie_2024,3,-1.85087655062534,0.926530468884282,-2.777407019509622
Stephon Castle,20,SAS,rookie,rookie,-0.10804135580505057,0.7777072608612985,-0.8857486166663491,16,20329,5,Rotation,#32CD32,-0.08574861666634903,0.914251383333651,1.614251383333651,5,4,3,0,1,2,rookie_2024,4,-0.2721237196829135,1.0337061789056357,-1.3058298985885493
Donovan Clingan,20,POR,rookie,rookie,-1.0682924225917576,-1.9796575489022648,0.9113651263105071,22,13686,4,Quality Starter,#4169E1,1.4113651263105071,2.111365126310507,2.411365126310507,3,2,2,1,2,2,rookie_2024,7,-1.383090554434764,-2.583644846288341,1.2005542918535772
Zach Edey,23,MEM,rookie,rookie,1.0301579766245357,-2.49250610844971,3.522664085074246,11,13612,2,All-NBA,#C0C0C0,3.872664085074246,4.242664085074246,4.272664085074246,2,1,1,0,1,1,rookie_2024,9,1.532350024004755,-3.311974813360024,4.844324837364779
Matas Buzelis,20,CHI,rookie,rookie,0.25474112738666443,-1.7561900648461501,2.010931192232815,9,3654,2,All-NBA,#C0C0C0,2.510931192232815,3.210931192232815,3.510931192232815,2,2,2,0,0,0,rookie_2024,11,1.2402917291437583,-2.4996804556198016,3.73997218476356
Dalton Knecht,23,LAL,rookie,rookie,0.07811389471730401,0.7941057689784989,-0.7159918742611949,20,13515,5,Rotation,#32CD32,-0.505991874261195,-0.29599187426119494,-0.3159918742611949,5,5,5,0,0,0,rookie_2024,17,0.2170574775536615,1.0124801512391124,-0.7954226736854508
Tristan da Silva,23,ORL,rookie,rookie,0.42343637136911555,0.6275236379013726,-0.204087266532257,16,5883,5,Rotation,#32CD32,0.005912733467742987,0.21591273346774298,0.19591273346774302,4,4,4,1,1,1,rookie_2024,18,0.6736095870616604,0.4927351088039317,0.1808744782577287
Kyshawn George,20,WAS,rookie,rookie,-1.061551995311294,-0.5192837806952716,-0.5422682146160224,22,18053,5,Rotation,#32CD32,-0.24226821461602238,0.15773178538397759,0.2577317853839777,5,4,4,0,1,1,rookie_2024,24,-1.3742412431188482,-0.6675835181608134,-0.7066577249580348
Kon Knueppel,20,CHA,rookie,rookie,-0.4542257780481597,0.32406832591058854,-0.7782941039587483,26,3391,5,Rotation,#32CD32,-0.47829410395874833,-0.07829410395874836,0.021705896041251727,5,5,4,0,0,1,rookie_2025,21,-1.224076483740456,0.4455476609990503,-1.6696241447395064
Cooper Flagg,18,Duke,prospect,prospect,0.15,0.15,0.3,0,0,4,Quality Starter,#4169E1,1.1,2.1,2.8,3,2,2,1,2,2,prospect_2025,1,,,
Dylan Harper,19,Rutgers,prospect,prospect,0.15,0.15,0.3,0,0,4,Quality Starter,#4169E1,1.1,2.1,2.8,3,2,2,1,2,2,prospect_2025,2,,,
Ace Bailey,19,Rutgers,prospect,prospect,0.15,0.15,0.3,0,0,4,Quality Starter,#4169E1,1.1,2.1,2.8,3,2,2,1,2,2,prospect_2025,3,,,
V.J. Edgecombe,19,Baylor,prospect,prospect,-0.1,-0.1,-0.2,0,0,5,Rotation,#32CD32,0.6000000000000001,1.6,2.3,4,3,2,1,2,3,prospect_2025,5,,,
Tre Johnson,19,Texas,prospect,prospect,-0.35,-0.35,-0.7,0,0,5,Rotation,#32CD32,-0.19999999999999996,0.5,0.8,5,4,4,0,1,1,prospect_2025,6,,,
