name,age,team_name,position,pos_category,o_rapm,d_rapm,total_rapm,games,off_poss,tier,tier_name,tier_color,proj_1yr,proj_3yr,proj_5yr,tier_1yr,tier_3yr,tier_5yr,tier_change_1yr,tier_change_3yr,tier_change_5yr
Patty Mills,36.22450376454484,UTA,0,point,-1.17079069935283,0.98256260144612,-2.1533533007989503,17,847,6,Bench/Developing,#808080,0.8704935061499216,0.3304935061499217,-0.20950649385007836,4,4,5,2,2,1
Zion Williamson,24.32306639288159,NOP,0,forward,1.11464251412257,-0.8239295959121601,1.93857211003473,30,4539,3,All-Star,#CD7F32,2.2420655032242767,2.1936055442920384,1.8548375771462475,2,2,3,1,1,0
James Harden,35.18412046543463,LAC,0,point,2.78961402990319,1.88091334640734,0.90870068349585,79,4851,4,Quality Starter,#4169E1,2.153094911388342,1.6130949113883415,1.073094911388342,2,3,3,2,1,1
Victor Wembanyama,20.826830937713893,SAS,0,big,-1.6019358353290498,-3.02605169347244,1.4241158581433904,46,4405,3,All-Star,#CD7F32,1.7241158581433904,2.32411585814339,2.9241158581433906,3,2,2,0,1,1
Kyle Lowry,38.60643394934976,PHI,0,combo,-0.15957942084003,-1.03923831766932,0.87965889682929,35,3314,4,Quality Starter,#4169E1,1.7046754427741804,1.1646754427741803,0.6246754427741803,3,3,4,1,1,0
Dorian Finney-Smith,31.49623545516769,BKN,0,big,-0.03282043040596,-0.70015097202515,0.6673305416191899,20,3700,4,Quality Starter,#4169E1,1.5857654904209413,1.0457654904209415,0.5057654904209413,3,3,4,1,1,0
Dorian Finney-Smith,31.49623545516769,BKN,0,big,-0.03282043040596,-0.70015097202515,0.6673305416191899,20,3700,4,Quality Starter,#4169E1,1.5857654904209413,1.0457654904209415,0.5057654904209413,3,3,4,1,1,0
Dorian Finney-Smith,31.49623545516769,LAL,0,wing,-0.03282043040596,-0.70015097202515,0.6673305416191899,20,3700,4,Quality Starter,#4169E1,1.5857654904209413,1.0457654904209415,0.5057654904209413,3,3,4,1,1,0
Dorian Finney-Smith,31.49623545516769,BKN,0,big,-0.03282043040596,-0.70015097202515,0.6673305416191899,43,3700,4,Quality Starter,#4169E1,1.5857654904209413,1.0457654904209415,0.5057654904209413,3,3,4,1,1,0
Dorian Finney-Smith,31.49623545516769,LAL,0,wing,-0.03282043040596,-0.70015097202515,0.6673305416191899,43,3700,4,Quality Starter,#4169E1,1.5857654904209413,1.0457654904209415,0.5057654904209413,3,3,4,1,1,0
