name,season,o_rapm,d_rapm,total_rapm,games
LeBron James,2014,6.011131169488039,-0.67989287341042,6.6910240428984595,69
Chris Paul,2014,4.26105889778549,-1.75787087771507,6.01892977550056,82
Manu Ginobili,2014,4.2859611995086,-1.6337591934435398,5.91972039295214,70
Andre Iguodala,2014,0.84072872691146,-4.50422179736184,5.3449505242733,77
Stephen Curry,2014,5.25881285318432,0.03086096491601,5.2279518882683105,80
Nick Collison,2014,3.4414681850518,-1.7862957416040701,5.22776392665587,66
Vince Carter,2014,1.9914235976157002,-3.0449001278600196,5.03632372547572,66
Patrick Beverley,2014,3.1539458894685604,-1.8170407252319098,4.97098661470047,56
Russell Westbrook,2014,3.6992196142142197,-1.04051566331685,4.73973527753107,67
Channing Frye,2014,5.455505115974439,0.77168537409893,4.683819741875509,75
Eric Bledsoe,2014,0.45704443273939,-3.83095839024806,4.28800282298745,81
Dirk Nowitzki,2014,3.5624458386457802,-0.71918546914779,4.28163130779357,77
Patty Mills,2014,2.44192696057954,-1.76400304213651,4.20593000271605,51
Amir Johnson,2014,2.42096779646411,-1.65949400318306,4.0804617996471695,75
Mike Conley,2014,3.27261127400719,-0.65039158337687,3.92300285738406,70
Kevin Durant,2014,3.7852828924120905,-0.09598714272633,3.8812700351384204,27
Taj Gibson,2014,0.56174804004867,-3.28870827924261,3.85045631929128,62
Tim Duncan,2014,1.50972806273054,-2.33358262142047,3.8433106841510103,77
Matt Bonner,2014,3.71225851107131,-0.12652929904062002,3.83878781011193,68
Tony Parker,2014,2.65763091201892,-0.97240724429636,3.63003815631528,68
LeBron James,2015,6.820033711159939,-1.5683643990798202,8.38839811023976,76
Chris Paul,2015,4.44788636471596,-2.40569750251298,6.85358386722894,74
Stephen Curry,2015,6.14979354293927,0.009590569587869784,6.140202973351401,79
Manu Ginobili,2015,2.60282428312246,-2.75996201851774,5.362786301640201,58
Kevin Durant,2015,4.10268484387072,-0.8035857847774899,4.90627062864821,72
Nick Collison,2015,2.10113087791322,-2.74367393555006,4.84480481346328,56
Draymond Green,2015,1.00179361154365,-3.84205197209265,4.8438455836363,81
Patty Mills,2015,2.30686380292726,-2.5350913022769697,4.84195510520423,81
Russell Westbrook,2015,5.00180029643273,0.24069171646621998,4.7611085799665105,80
Andre Iguodala,2015,1.3775324211814999,-3.3332660160690897,4.71079843725059,65
Kawhi Leonard,2015,1.30773138311585,-3.33638469763078,4.64411608074663,72
Tony Allen,2015,0.77380267404071,-3.2349830090345804,4.00878568307529,64
Amir Johnson,2015,2.31288952073565,-1.55234248712379,3.86523200785944,79
George Hill,2015,2.4325935986513803,-1.38637846902536,3.8189720676767402,74
Vince Carter,2015,1.5632167312148102,-2.19181527208787,3.7550320033026803,60
Kyle Korver,2015,2.9091365051101303,-0.7883179387153599,3.69745444382549,80
Klay Thompson,2015,2.81087275741903,-0.86964270166695,3.68051545908598,80
Ricky Rubio,2015,2.02992667823849,-1.6323009136345101,3.662227591873,76
James Harden,2015,5.02090259428324,1.37561947847554,3.6452831158077,82
DeMarre Carroll,2015,1.764189508594,-1.8354449295260402,3.5996344381200402,26
LeBron James,2016,6.433715429391559,-2.3138037905853297,8.747519219976889,74
Chris Paul,2016,5.15564164216373,-3.1036061239147603,8.259247766078492,61
Draymond Green,2016,2.70769477070532,-4.60545691086672,7.31315168157204,76
Stephen Curry,2016,6.374785143840519,-0.58743794055262,6.962223084393139,79
Manu Ginobili,2016,2.97921883623239,-3.1893929122914,6.16861174852379,69
Kawhi Leonard,2016,1.61393061705693,-4.29755101873117,5.9114816357881,74
Kevin Durant,2016,4.639499238756191,-1.27045353812012,5.9099527768763105,62
Ricky Rubio,2016,3.9555255763160804,-1.94214553522384,5.89767111153992,75
James Harden,2016,5.82524591837538,0.2858418942614,5.53940402411398,81
Patty Mills,2016,2.65964808463421,-2.7396202847994,5.39926836943361,80
Kyle Lowry,2016,3.3038189209047495,-1.47152953537327,4.775348456278019,60
Iman Shumpert,2016,1.66490424041046,-3.09490606117306,4.75981030158352,76
Jae Crowder,2016,2.39621743539035,-2.28148583272727,4.67770326811762,72
Russell Westbrook,2016,5.2629839309286,0.8147104451745599,4.44827348575404,81
Kyle Korver,2016,3.10218814740624,-1.19505854126193,4.29724668866817,32
Kyle Korver,2016,3.10218814740624,-1.19505854126193,4.29724668866817,32
Kyle Korver,2016,3.10218814740624,-1.19505854126193,4.29724668866817,35
Kyle Korver,2016,3.10218814740624,-1.19505854126193,4.29724668866817,35
Patrick Patterson,2016,3.79408530818261,-0.41753818158626005,4.21162348976887,65
Paul George,2016,0.8610943391661199,-3.33198607538243,4.19308041454855,75
LeBron James,2017,7.630906291533581,-2.2457943933037,9.876700684837282,82
Stephen Curry,2017,7.72040428487224,-0.40611754877433,8.126521833646569,51
Draymond Green,2017,2.38681270679474,-5.33777631339203,7.72458902018677,70
Chris Paul,2017,5.209728807283169,-2.41475135879447,7.624480166077639,58
Kawhi Leonard,2017,5.15703488491795,-2.24123751855533,7.39827240347328,9
Kyle Lowry,2017,3.8210042865876503,-2.04181181456612,5.86281610115377,78
Kevin Durant,2017,4.60705867455342,-0.9461860988683399,5.55324477342176,68
Nikola Jokic,2017,4.26318576034813,-1.24605658309911,5.50924234344724,75
James Harden,2017,5.85332048021533,0.39535047161570996,5.45797000859962,72
Russell Westbrook,2017,6.07242360763654,0.9853187662667099,5.08710484136983,80
Paul Millsap,2017,2.5677790211626,-1.9307264613841701,4.49850548254677,38
Khris Middleton,2017,1.52500458109247,-2.74244416575317,4.26744874684564,82
Patrick Patterson,2017,3.7487599881743097,-0.36065873557537,4.1094187237496795,82
Manu Ginobili,2017,1.6028315021345803,-2.45524196322694,4.05807346536152,65
Jae Crowder,2017,2.36239274953951,-1.45127891038061,3.8136716599201197,53
Jae Crowder,2017,2.36239274953951,-1.45127891038061,3.8136716599201197,53
Jae Crowder,2017,2.36239274953951,-1.45127891038061,3.8136716599201197,53
Jae Crowder,2017,2.36239274953951,-1.45127891038061,3.8136716599201197,53
Jae Crowder,2017,2.36239274953951,-1.45127891038061,3.8136716599201197,53
Jae Crowder,2017,2.36239274953951,-1.45127891038061,3.8136716599201197,53
Stephen Curry,2018,8.525224608004219,-0.39588913091207,8.92111373891629,69
Chris Paul,2018,5.47623035010238,-2.7951819045224,8.27141225462478,58
LeBron James,2018,8.04851785682754,0.08339169726718,7.965126159560361,55
Kawhi Leonard,2018,4.9422170156239,-2.8604622420302697,7.8026792576541695,60
