season,o_rapm_corr,d_rapm_corr,total_rapm_corr,n_players
2014,0.7126724283878659,0.5570383495551192,0.6463115814410778,702
2015,0.6888606698963309,0.6173288640047491,0.7066719251686571,525
2016,0.734842708432728,0.6818453539405002,0.7406378932263129,538
2017,0.7015264432210135,0.6139762189402205,0.6180858695084165,534
2018,0.6576654044885623,0.6524322950752666,0.6638396338822078,758
2019,0.656853900861995,0.6605853548926441,0.6734193654345328,486
2020,0.713767132723469,0.5996165901505447,0.6731002525046045,502
2021,0.6891740485515137,0.618734369479634,0.6567410793894108,509
2022,0.7314244816351722,0.6512991754514621,0.742054962304695,481
2023,0.7208469160446586,0.6085884517132516,0.6801437959734197,474
2024,0.69185309180165,0.6026532000504069,0.6793560849796485,514
